run_id,run_time,task,dataset_version,code_version,split_strategy,metrics_json,key_params_json,output_paths_json,notes,conclusion
association-20260314-194445,2026-03-14 19:44:45,association,train.csv|2129689B|2020-09-11 15:40:16,a728db5,basket grouped by Order ID,"{""rule_count"": 2, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.1208985}","{""min_support"": 0.02, ""min_confidence"": 0.2, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,chua on
clustering-20260314-194449,2026-03-14 19:44:49,clustering,train.csv|2129689B|2020-09-11 15:40:16,a728db5,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,chua on
forecasting-20260314-194451,2026-03-14 19:44:51,forecasting,train.csv|2129689B|2020-09-11 15:40:16,a728db5,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789572, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",chua on
association-20260314-194821,2026-03-14 19:48:21,association,train.csv|2129689B|2020-09-11 15:40:16,a728db5,basket grouped by Order ID,"{""rule_count"": 2, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.1208985}","{""min_support"": 0.02, ""min_confidence"": 0.2, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,kem hon
clustering-20260314-194823,2026-03-14 19:48:23,clustering,train.csv|2129689B|2020-09-11 15:40:16,a728db5,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,kem hon
forecasting-20260314-194824,2026-03-14 19:48:24,forecasting,train.csv|2129689B|2020-09-11 15:40:16,a728db5,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789572, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",kem hon
association-20260315-002011,2026-03-15 00:20:11,association,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,basket grouped by Order ID,"{""rule_count"": 2, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.1208985}","{""min_support"": 0.02, ""min_confidence"": 0.2, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,kem hon
clustering-20260315-002013,2026-03-15 00:20:13,clustering,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,kem hon
forecasting-20260315-002014,2026-03-15 00:20:14,forecasting,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789572, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",kem hon
association-20260315-005513,2026-03-15 00:55:13,association,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,basket grouped by Order ID,"{""rule_count"": 2, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.1208985}","{""min_support"": 0.02, ""min_confidence"": 0.2, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,kem hon
clustering-20260315-005523,2026-03-15 00:55:23,clustering,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,kem hon
forecasting-20260315-005524,2026-03-15 00:55:24,forecasting,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789571, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",kem hon
association-20260315-005606,2026-03-15 00:56:06,association,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,basket grouped by Order ID,"{""rule_count"": 2, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.1208985}","{""min_support"": 0.02, ""min_confidence"": 0.2, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,kem hon
clustering-20260315-005615,2026-03-15 00:56:15,clustering,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,kem hon
forecasting-20260315-005616,2026-03-15 00:56:16,forecasting,train.csv|2129689B|2020-09-11 15:40:16,6ceb2be,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789571, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",kem hon
association-20260315-120027,2026-03-15 12:00:27,association,train.csv|2129689B|2020-09-11 15:40:16,7bbf7b8,basket grouped by Order ID,"{""rule_count"": 12, ""max_lift"": 1.193768, ""avg_lift_top5"": 1.134976}","{""min_support"": 0.02, ""min_confidence"": 0.02, ""min_lift"": 1.0, ""max_length"": 3, ""top_n_rules"": 20}","{""itemsets"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_itemsets.csv"", ""rules"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\association_rules.csv"", ""top_categories_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\top_subcategories.png""}",Association rules over basket transactions using configured item level.,kem hon
clustering-20260315-120036,2026-03-15 12:00:36,clustering,train.csv|2129689B|2020-09-11 15:40:16,7bbf7b8,customer-level aggregation from cleaned transactional data,"{""silhouette"": 0.3559298191397193, ""davies_bouldin"": 1.2056361544083543, ""best_k"": 2}","{""features"": [""recency_days"", ""order_count"", ""total_sales"", ""avg_order_value"", ""unique_subcategories"", ""avg_discount"", ""profit_margin""], ""algorithms"": [""kmeans"", ""agglomerative""], ""candidate_k"": [2, 3, 4, 5, 6], ""best_algorithm"": ""kmeans""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\clustering_comparison.csv"", ""assignments"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_assignments.csv"", ""profile"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\cluster_profile.csv"", ""profile_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\cluster_profile.png""}",Customer clustering benchmark across KMeans and Agglomerative.,kem hon
forecasting-20260315-120037,2026-03-15 12:00:37,forecasting,train.csv|2129689B|2020-09-11 15:40:16,7bbf7b8,time-based split with holdout horizon=12,"{""MAE"": 3371.718325, ""RMSE"": 3861.789571, ""sMAPE"": 115.989002}","{""frequency"": ""W-MON"", ""horizon"": 12, ""moving_average_window"": 4, ""holt_winters"": {""trend"": ""add"", ""seasonal"": ""add"", ""seasonal_periods"": 4}, ""sarimax"": {""order"": [1, 1, 1], ""seasonal_order"": [1, 0, 0, 4]}, ""best_model"": ""sarimax""}","{""comparison"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_comparison.csv"", ""predictions"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_predictions.csv"", ""residuals"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\tables\\forecast_residuals.csv"", ""forecast_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\forecast_vs_actual.png"", ""weekly_sales_figure"": ""D:\\CODE\\DNU_Data_Mining\\DataminingSupperMarketSales\\outputs\\figures\\weekly_sales.png""}","Forecasting comparison across naive, moving average, Holt-Winters, and SARIMAX.",kem hon
