itemset,length,support
Binders,1,0.262292
Paper,1,0.236286
Furnishings,1,0.17371
Phones,1,0.163145
Storage,1,0.155221
Art,1,0.146282
Accessories,1,0.142625
Chairs,1,0.114994
Appliances,1,0.090207
Labels,1,0.069078
Tables,1,0.061357
Envelopes,1,0.04937
Bookcases,1,0.045104
Fasteners,1,0.043072
Supplies,1,0.036774
Machines,1,0.022755
Copiers,1,0.013409
"Binders, Paper",2,0.054246
"Binders, Storage",2,0.039618
"Binders, Phones",2,0.039618
"Binders, Furnishings",2,0.038602
"Paper, Storage",2,0.035351
"Paper, Phones",2,0.034336
"Furnishings, Paper",2,0.033929
"Accessories, Binders",2,0.032304
"Accessories, Paper",2,0.030475
"Art, Binders",2,0.029663
"Art, Paper",2,0.02946
"Furnishings, Phones",2,0.029256
"Furnishings, Storage",2,0.027022
"Chairs, Paper",2,0.026209
"Appliances, Binders",2,0.025599
"Art, Phones",2,0.024787
"Binders, Chairs",2,0.023364
"Phones, Storage",2,0.023161
"Accessories, Phones",2,0.022958
"Accessories, Furnishings",2,0.022552
"Appliances, Paper",2,0.021942
"Accessories, Storage",2,0.020723
"Art, Storage",2,0.019911
"Art, Furnishings",2,0.019911
"Chairs, Furnishings",2,0.019707
"Accessories, Art",2,0.018082
"Chairs, Phones",2,0.017676
"Chairs, Storage",2,0.016863
"Art, Chairs",2,0.016457
"Binders, Labels",2,0.016457
"Appliances, Furnishings",2,0.01605
"Labels, Paper",2,0.015847
"Appliances, Phones",2,0.015441
"Binders, Tables",2,0.014222
"Accessories, Chairs",2,0.012597
"Binders, Fasteners",2,0.012393
"Labels, Storage",2,0.011987
"Accessories, Appliances",2,0.011987
"Appliances, Art",2,0.011987
"Fasteners, Paper",2,0.011581
"Labels, Phones",2,0.011581
"Envelopes, Paper",2,0.011377
"Binders, Bookcases",2,0.011174
"Furnishings, Labels",2,0.011174
"Appliances, Storage",2,0.010971
"Binders, Envelopes",2,0.010768
"Paper, Tables",2,0.010768
"Phones, Tables",2,0.010565
"Binders, Paper, Phones",3,0.010768
"Binders, Paper, Storage",3,0.010565
