antecedent,consequent,antecedent_size,consequent_size,support,confidence,lift
"Binders, Paper",Storage,2,1,0.010565,0.194757,1.254701
Storage,"Binders, Paper",1,2,0.010565,0.068063,1.254701
"Binders, Paper",Phones,2,1,0.010768,0.198502,1.21672
Phones,"Binders, Paper",1,2,0.010768,0.066002,1.21672
"Paper, Phones",Binders,2,1,0.010768,0.313609,1.195651
Binders,"Paper, Phones",1,2,0.010768,0.041053,1.195651
"Binders, Phones",Paper,2,1,0.010768,0.271795,1.150279
Paper,"Binders, Phones",1,2,0.010768,0.045572,1.150279
"Paper, Storage",Binders,2,1,0.010565,0.298851,1.139382
Binders,"Paper, Storage",1,2,0.010565,0.040279,1.139382
