algorithm,k,silhouette,davies_bouldin
kmeans,2,0.3559298191397193,1.2056361544083543
kmeans,3,0.3440991645158732,1.0535480991022863
kmeans,5,0.3311872967401664,0.8477404330072151
kmeans,4,0.3291607513287111,1.0102581203942462
kmeans,6,0.2647971779750698,1.009021131954624
agglomerative,3,0.26275703541505374,1.2419641825615313
agglomerative,2,0.25934906639519795,1.369694862677291
agglomerative,4,0.2159934786672218,1.077969690803004
agglomerative,6,0.2051727404404294,0.9862253292485436
agglomerative,5,0.20125332841874877,1.1586897846770998
