algorithm,k,eps,min_samples,silhouette,davies_bouldin,min_cluster_share,max_cluster_share,noise_share,accepted_for_report,feature_count,features
kmeans,4,,,0.38952090303089726,1.011043135413477,0.08196721311475409,0.6141235813366961,0.0,True,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
kmeans,3,,,0.35405360392980245,1.1690213177975453,0.15006305170239598,0.6557377049180327,0.0,True,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
kmeans,2,,,0.3412474039853383,1.4283551548390514,0.3026481715006305,0.6973518284993695,0.0,True,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
agglomerative,4,,,0.3150157142597436,1.14391815575576,0.0605296343001261,0.5384615384615384,0.0,True,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
agglomerative,3,,,0.2840431854744619,1.30829455505581,0.22068095838587642,0.5384615384615384,0.0,True,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,0.6,12.0,0.4530665263137868,0.7667395696566421,0.1387900355871886,0.8612099644128114,0.29129886506935687,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,0.8,8.0,0.40320127620810314,1.0313981447031066,0.18262150220913106,0.8173784977908689,0.1437578814627995,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,1.0,12.0,0.3868678975778642,1.079265306998524,0.18454935622317598,0.8154506437768241,0.11853720050441362,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,3,0.8,12.0,0.3798064535997757,0.824467655589095,0.016591251885369532,0.8205128205128205,0.16393442622950818,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,4,0.8,5.0,0.37639184955455873,0.8945494253016504,0.00715307582260372,0.804005722460658,0.11853720050441362,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,1.0,8.0,0.37375540055761486,1.1264367113287554,0.18679775280898878,0.8132022471910112,0.1021437578814628,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,1.2,12.0,0.36808245774347803,1.1841943585815864,0.19310344827586207,0.8068965517241379,0.08575031525851198,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
agglomerative,2,,,0.36804527218360406,1.37491892318054,0.2408575031525851,0.7591424968474149,0.0,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,2,1.2,8.0,0.3644388334033886,1.2049199961426396,0.19452054794520549,0.8054794520547945,0.07944514501891552,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,4,0.6,8.0,0.3506985872862972,0.6916772008461444,0.013029315960912053,0.8159609120521173,0.2257250945775536,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
kmeans,6,,,0.3468065738664902,1.0032301856392352,0.018915510718789406,0.4110970996216898,0.0,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,4,1.2,5.0,0.3445147313002122,1.0923760589655596,0.010526315789473684,0.7789473684210526,0.0416141235813367,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,5,1.0,5.0,0.33362476298990534,0.8356310585859752,0.006747638326585695,0.7935222672064778,0.06557377049180328,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
kmeans,5,,,0.32822446364930247,1.048109055668892,0.025220680958385876,0.48675914249684743,0.0,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
agglomerative,5,,,0.3079538307759021,1.0656890440835531,0.015132408575031526,0.5384615384615384,0.0,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
agglomerative,6,,,0.2778033025550965,1.0397977752321481,0.015132408575031526,0.29760403530895335,0.0,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
dbscan,5,0.6,5.0,0.2388245056535613,0.7979068572320562,0.004601226993865031,0.8052147239263804,0.17780580075662042,False,5,"recency_days, total_sales, avg_order_value, active_days, unique_categories"
