min_support,min_confidence,min_lift,max_length,rule_count,max_lift,avg_lift_top5
0.01,0.02,1.0,3,20,1.254701,1.227699
0.01,0.02,1.05,3,20,1.254701,1.227699
0.01,0.02,1.0,2,20,1.137892,1.121737
0.01,0.02,1.05,2,10,1.137892,1.121737
0.01,0.05,1.0,2,20,1.137892,1.110546
0.01,0.05,1.05,2,8,1.137892,1.110546
0.01,0.1,1.0,2,15,1.137892,1.09804
0.01,0.1,1.05,2,5,1.137892,1.09804
0.015,0.02,1.05,2,2,1.081939,1.081939
0.015,0.05,1.05,2,2,1.081939,1.081939
0.02,0.02,1.05,2,2,1.081939,1.081939
0.02,0.05,1.05,2,2,1.081939,1.081939
0.015,0.1,1.05,2,1,1.081939,1.081939
0.02,0.1,1.05,2,1,1.081939,1.081939
0.015,0.02,1.0,2,14,1.081939,1.060176
0.015,0.05,1.0,2,14,1.081939,1.060176
0.02,0.02,1.0,2,10,1.081939,1.054688
0.02,0.05,1.0,2,10,1.081939,1.054688
0.015,0.1,1.0,2,10,1.081939,1.04814
0.02,0.1,1.0,2,8,1.081939,1.044768
