algorithm,k,silhouette,davies_bouldin,min_cluster_share,max_cluster_share,accepted_for_report,feature_count,features,feature_set,feature_list
kmeans,2,0.355424,1.067923,0.450189,0.549811,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
kmeans,3,0.351882,1.112306,0.151324,0.662043,True,5,"recency_days, total_sales, avg_order_value, active_days, total_quantity",F4,"recency_days, total_sales, avg_order_value, active_days, total_quantity"
kmeans,3,0.327592,1.023576,0.129887,0.480454,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
agglomerative,3,0.323148,1.173378,0.098361,0.746532,True,6,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days",F2,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days"
kmeans,4,0.310329,1.044034,0.06053,0.437579,True,5,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories",F1,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories"
kmeans,2,0.310002,1.243949,0.469105,0.530895,True,5,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories",F1,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories"
kmeans,3,0.308167,1.104454,0.063052,0.479193,True,5,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories",F1,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories"
agglomerative,2,0.301867,1.17226,0.363178,0.636822,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
agglomerative,2,0.296113,1.358242,0.320303,0.679697,True,5,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories",F1,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories"
kmeans,4,0.289263,1.184105,0.119798,0.393443,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
kmeans,2,0.278707,1.336747,0.437579,0.562421,True,6,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days",F2,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days"
agglomerative,3,0.275801,1.234761,0.10971,0.569987,True,5,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories",F1,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories"
kmeans,2,0.267221,1.386799,0.440101,0.559899,True,5,"recency_days, total_sales, avg_order_value, active_days, total_quantity",F4,"recency_days, total_sales, avg_order_value, active_days, total_quantity"
agglomerative,2,0.263433,1.409227,0.424968,0.575032,True,5,"recency_days, total_sales, avg_order_value, active_days, total_quantity",F4,"recency_days, total_sales, avg_order_value, active_days, total_quantity"
kmeans,3,0.262451,1.296048,0.157629,0.506936,True,6,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days",F2,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days"
agglomerative,3,0.244297,1.26646,0.163934,0.472888,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
agglomerative,4,0.239373,1.145175,0.126103,0.472888,True,5,"recency_days, order_count, total_sales, unique_subcategories, total_quantity",F3,"recency_days, order_count, total_sales, unique_subcategories, total_quantity"
agglomerative,4,0.21662,1.304437,0.098361,0.384615,True,6,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days",F2,"recency_days, order_count, total_sales, avg_order_value, unique_subcategories, active_days"
agglomerative,3,0.170022,1.176013,0.261034,0.424968,True,5,"recency_days, total_sales, avg_order_value, active_days, total_quantity",F4,"recency_days, total_sales, avg_order_value, active_days, total_quantity"
