frequency,horizon,moving_average_window,holt_winters_period,sarimax_order,sarimax_seasonal_order,best_model,MAE,RMSE,sMAPE
MS,6,3,12,"(1, 1, 1)","(1, 0, 0, 12)",holt_winters,13133.564803,18419.983394,18.725375
MS,6,3,12,"(1, 0, 1)","(1, 0, 0, 12)",holt_winters,13133.564803,18419.983394,18.725375
MS,6,3,12,"(2, 1, 1)","(1, 0, 0, 12)",holt_winters,13133.564803,18419.983394,18.725375
W-MON,12,2,52,"(1, 1, 1)","(1, 0, 0, 52)",holt_winters,7519.721427,8926.198055,40.014108
W-MON,12,4,52,"(1, 1, 1)","(1, 0, 0, 52)",holt_winters,7519.721427,8926.198055,40.014108
W-MON,12,8,52,"(1, 1, 1)","(1, 0, 0, 52)",holt_winters,7519.721427,8926.198055,40.014108
W-MON,12,4,13,"(1, 1, 1)","(1, 0, 0, 13)",moving_average,7836.121617,9268.641127,40.756023
W-MON,12,4,13,"(1, 0, 1)","(1, 0, 0, 13)",moving_average,7836.121617,9268.641127,40.756023
W-MON,12,4,13,"(2, 1, 1)","(1, 0, 0, 13)",moving_average,7836.121617,9268.641127,40.756023
W-MON,12,8,13,"(1, 1, 1)","(1, 0, 0, 13)",moving_average,7926.506283,9325.241634,41.251005
W-MON,12,8,13,"(1, 0, 1)","(1, 0, 0, 13)",moving_average,7926.506283,9325.241634,41.251005
W-MON,12,8,13,"(2, 1, 1)","(1, 0, 0, 13)",moving_average,7926.506283,9325.241634,41.251005
W-MON,12,2,13,"(1, 1, 1)","(1, 0, 0, 13)",naive,7964.62695,9351.368363,41.460774
W-MON,12,2,13,"(1, 0, 1)","(1, 0, 0, 13)",naive,7964.62695,9351.368363,41.460774
W-MON,12,2,13,"(2, 1, 1)","(1, 0, 0, 13)",naive,7964.62695,9351.368363,41.460774
